text,target,raw_text,raw_persona
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am serving in South Korea.] Dialogue: [I am just waiting to get out of the army and South Korea .],I am just waiting to get out of the army in Asia.,I am just waiting to get out of the army and South Korea .,['I am serving in South Korea.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I work in a program that mentors troubled teens.] Dialogue: [My work is with a program that helps troubled teens through mentoring .],My work is with a program that helps people.,My work is with a program that helps troubled teens through mentoring .,['I work in a program that mentors troubled teens.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [No , I make jewelry from rocks . You have kids ? I have two children .]","No, I make jewelry from rocks. You have family? I have a small family.","No , I make jewelry from rocks . You have kids ? I have two children .",['I am divorced and have a kids.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am a furry.] Dialogue: [Oh , okay . I am online a lot , and a furry .]","Oh, okay. I am online a lot, and I like to dress up.","Oh , okay . I am online a lot , and a furry .",['I am a furry.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I have a lot of tattoos.] Dialogue: [No , I still live with my brothers . I have more tattoos .]","No, I still live with my brothers. I have an unique skin.","No , I still live with my brothers . I have more tattoos .",['I have a lot of tattoos.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [I plan my retirement for fun . I hope to be able to retire soon .],I plan my next step for fun. I hope to leave my job soon.,I plan my retirement for fun . I hope to be able to retire soon .,['I hope to retire someday soon.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I dropped out of high school.] Dialogue: [I am single . I dropped out of school .],I am single. I left a place.,I am single . I dropped out of school .,['I dropped out of high school.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [My best friend took my boyfriend in high school.] Dialogue: [My friend took my boyfriend in my school .],My friend lost my trust in my school.,My friend took my boyfriend in my school .,['My best friend took my boyfriend in high school.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [That is okay , I am recently divorce so I am lonely .]","That is okay, I am recently broke up so I am lonely.","That is okay , I am recently divorce so I am lonely .",['I am divorced and have a kids.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am a carpenter.] Dialogue: [I am a bit of a carpenter , so it is the opposite of what I am used to .]","I am a handyman, so it is the opposite of what I am used to.","I am a bit of a carpenter , so it is the opposite of what I am used to .",['I am a carpenter.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I never finished high school.] Dialogue: [Awesome . I actually never graduated high school .],Awesome. I actually leave school earlier.,Awesome . I actually never graduated high school .,['I never finished high school.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I have three children.] Dialogue: [I have 3 children , and 2 kitties , that think they are my children as well !]","I have 3 younger family members, and 2 kitties, that think they are my family members as well!","I have 3 children , and 2 kitties , that think they are my children as well !",['I have three children.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am unhappy with my weight.] Dialogue: [I love cooking ! And , I am pretty good at it , too ! That explains the extra pounds !]","I love cooking! And, I am pretty good at it, too! That explains my appearance!","I love cooking ! And , I am pretty good at it , too ! That explains the extra pounds !",['I am unhappy with my weight.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am unhappy with my weight.] Dialogue: [It is good to take your time to decide . What do you study ?],It is good to take your time to decide. What do you study?,It is good to take your time to decide . What do you study ?,['I am unhappy with my weight.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am a 22-year-old girl.] Dialogue: [Impressive ! I am a 22-year-old woman .],Impressive! I am young.,Impressive ! I am a 22-year-old woman .,['I am a 22-year-old girl.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [Old age ! I hope I can retire soon ! Do you also ?],Old age! I hope I can stop working soon! Do you also?,Old age ! I hope I can retire soon ! Do you also ?,['I hope to retire someday soon.']
"Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am a carpenter.] Dialogue: [I do , but I prefer carpentry projects or family time .]","I do, but I prefer handyman projects or family time.","I do , but I prefer carpentry projects or family time .",['I am a carpenter.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I do not have many friends.] Dialogue: [I do not have many friends to travel with . Why Australia ?],I do not travel with a large group of people. Why Australia?,I do not have many friends to travel with . Why Australia ?,['I do not have many friends.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [I am just an Ohio mom with two amazing sons . Not married though .],I am just an American mom with two amazing sons. Not married though.,I am just an Ohio mom with two amazing sons . Not married though .,['I live in Ohio.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am a single mom of two boys.] Dialogue: [Being a single parent is not easy . Thanks for the encouragement .],Being a parent is not easy. Thanks for the encouragement.,Being a single parent is not easy . Thanks for the encouragement .,['I am a single mom of two boys.']
Rewrite the following dialogue to obscure private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [Ah . Single ? Kids ? I have one child and I am divorced .],Ah. Single? Kids? I have a small family to take care and I am not in a relationship.,Ah . Single ? Kids ? I have one child and I am divorced .,['I am divorced and have a kids.']
